ï»¿ASC_Name;Provider_id;NPI;City;State;Zip_Code;Year;ASC_1_Measure_Rate;ASC_1_Footnote;ASC_2_Measure_Rate;ASC_2_Footnote;ASC_3_Measure_Rate;ASC_3_Footnote;ASC_4_Measure_Rate;ASC_4_Footnote;ASC_5_Measure_Rate;ASC_5_Footnote;ASC_1_5_Encounter_Start_Date;ASC_1_5_Encounter_End_Date;ASC_6_SSChecklist;ASC_6_Footnote;ASC_7_Volume;ASC_7_Respiratory;ASC_7_Eye;ASC_7_Genitourinary;ASC_7_Musculoskeletal;ASC_7_Gastrointestinal;ASC_7_Nervous_System;ASC_7_Skin;ASC_7_Footnote;ASC_6_7_Encounter_Start_Date;ASC_6_7_Encounter_End_Date;ASC_8_rate;ASC_8_Footnote;ASC_8_Encounter_Date;ASC_9_rate;ASC_9_Footnote;ASC_10_rate;ASC_10_Footnote;ASC_9_10_Encounter_Start_Date;ASC_9_10_Encounter_End_Date;ASC_11_rate;ASC_11_Footnote;ASC_11_Encounter_Start_Date;ASC_11_Encounter_End_Date;ASC_12_Total_Cases;ASC_12_Performance_Category;ASC_12_Interval_Lower_Limit;ASC_12_Interval_Upper_Limit;ASC_12_Footnote;ASC_12_Encounter_Start_Date;ASC_12_Encounter_End_Date;ASC_12_RSHV_Rate
Roxbury Clinic and Surgery Center;05C0001658;1003001967;Beverly Hills;CA;90210;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;Yes;;56;0;14;37;0;0;0;5;;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Surgery Center at Northbay Vaca Valley;05C0001831;1003015843;Vacaville;CA;95687;2016;0.735;;0.735;;0.000;;1.471;;1,000.00;;01/01/16;12/31/2016;Yes;;4,699;12;461;66;690;2,242;1,14;88;;01/01/16;12/31/2016;87.21;;2016/2017;30.95;;16.67;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;192;No Different than the National Rate;10.0;19.6;;01/01/16;12/31/2016;13.9
Carlsbad Surgery Center;05C0001873;1003017351;Carlsbad;CA;92011;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;1,775;0;0;5;1,274;268;222;6;;01/01/16;12/31/2016;91.54;;2016/2017;30.56;;N/A;1;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Midwest Endoscopy Center, LLC;14C0001134;1003036310;Naperville;IL;60540;2016;1.029;;0.000;;0.000;;1.030;;500.00;1;01/01/16;12/31/2016;Yes;;7,442;0;0;0;0;7,442;0;0;;01/01/16;12/31/2016;90.00;;2016/2017;83.14;;87.72;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;632;No Different than the National Rate;9.3;17.4;;01/01/16;12/31/2016;12.7
York County Endoscopy Center;42C0001080;1003058744;Rock Hill;SC;29732;2016;0.000;1;0.000;1;0.000;1;0.000;1;N/A;5;01/01/16;12/31/2016;Yes;;5,438;0;0;0;0;5,438;0;0;;01/01/16;12/31/2016;93.75;;2016/2017;62.50;;73.75;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Advanced Surgical Care;19C0001115;1003062274;Baton Rouge;LA;70808;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;1,441;0;999;0;440;0;2;0;;01/01/16;12/31/2016;82.43;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Specialty ASC LLC;29C0001049;1003064890;Las Vegas;NV;89117;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Wooster Ambulatory Surgery Center, LLC;36C0001248;1003079187;Wooster;OH;44691;2016;0.000;;0.945;;0.000;;0.945;;983.33;;01/01/16;12/31/2016;Yes;;2,039;56;99;0;556;732;595;1;;01/01/16;12/31/2016;73.08;;2016/2017;86.46;;76.04;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;99;No Different than the National Rate;9.1;18.2;;01/01/16;12/31/2016;12.8
New Albany Surgery Center;36C0001267;1003103474;New Albany;OH;43054;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;2,907;0;0;0;2,337;0;569;1;;01/01/16;12/31/2016;71.08;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
City PL Surgery Center;26C0001033;1003110792;Creve Coeur;MO;63141;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;3,498;0;0;0;3,232;0;266;0;;01/01/16;12/31/2016;75.53;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Northern NJ Endoscopy Center;31C0001270;1003116823;Newton;NJ;7860;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,949;0;0;0;0;1,949;0;0;;01/01/16;12/31/2016;88.46;;2016/2017;38.94;;62.83;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;455;No Different than the National Rate;8.5;16.4;;01/01/16;12/31/2016;11.8
Mountainwest Surgery Center, LLC;46C0001039;1003119470;Bountiful;UT;84010;2016;0.000;;0.000;;0.000;;0.000;;994.49;;01/01/16;12/31/2016;Yes;;3,81;225;1,23;18;1,94;35;289;73;;01/01/16;12/31/2016;88.68;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Memorial Hermann Endoscopy CTR North Freeway;45C0001363;1003127606;Houston;TX;77018;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,513;0;0;0;0;3,513;0;0;;01/01/16;12/31/2016;95.00;;2016/2017;19.80;;92.86;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;207;No Different than the National Rate;8.6;17.1;;01/01/16;12/31/2016;12.3
Newport Plaza Surgery Center;05C0001672;1003138736;Costa Mesa;CA;92627;2016;0.000;;0.000;;0.000;;0.000;;979.89;;01/01/16;12/31/2016;Yes;;801;0;0;382;286;0;0;133;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Piedmont West Ambulatory Surgery Center, LLC;11C0001348;1003144353;Atlanta;GA;30318;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Ambulatory Surgery Center of Killen;45C0001569;1003166844;Killen;TX;76542;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,478;0;0;0;3,478;0;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Greater New Bedford Surgery Center;22C0001007;1003168907;Dartmouth;MA;2747;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;59.26;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
