"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
0,3,"male",-0.597281570200911,1,0,-0.536863611080407,"S"
1,1,"female",0.670753816949362,1,0,0.851823287013386,"C"
1,3,"female",-0.280272723413343,0,0,-0.52222492064569,"S"
1,1,"female",0.432997181858686,1,0,0.457482991040683,"S"
0,3,"male",0.432997181858686,0,0,-0.519514052046669,"S"
0,3,"male",-0.101955247095335,0,0,-0.510659270854825,"Q"
1,3,"female",-0.201020511716451,0,2,-0.452646682835765,"S"
1,3,"female",-2.02382138074497,1,1,-0.33192194499438,"S"
1,1,"female",2.2557980508872,0,0,-0.118305499391486,"S"
0,3,"male",-0.755785993594695,0,0,-0.519514052046669,"S"
0,3,"male",0.750006028646254,1,5,-0.0158346663484725,"S"
1,2,"female",2.01804141579653,0,0,-0.347102809148901,"S"
0,3,"male",-2.18232580413875,4,1,-0.0624616062516424,"Q"
1,2,"male",-0.101955247095335,0,0,-0.412163655525417,"S"
0,3,"female",0.115988335071118,1,0,-0.303728911564557,"S"
1,3,"female",-0.101955247095335,0,0,-0.537405784800211,"C"
1,2,"male",0.353744970161794,0,0,-0.412163655525417,"S"
1,3,"female",-1.15204705207916,0,0,-0.519965140581546,"Q"
0,3,"female",-1.7068125339574,3,1,-0.237041544028628,"S"
1,3,"female",0.670753816949362,1,5,-0.0133948846093531,"S"
0,3,"male",-0.101955247095335,0,0,-0.537405784800211,"C"
0,1,"male",-0.835038205291587,3,2,5.0095735425176,"S"
1,3,"female",-0.101955247095335,0,0,-0.523218182900372,"Q"
0,3,"male",-0.101955247095335,0,0,-0.522858179550422,"S"
1,1,"female",-0.101955247095335,1,0,2.48349509676443,"C"
1,3,"female",-0.101955247095335,0,0,-0.526020136684321,"Q"
0,2,"male",2.88981574446234,0,0,-0.466381027505847,"S"
0,1,"male",-0.121768300019558,1,0,1.08793994198816,"C"
0,1,"male",0.987762663736931,1,0,0.433627347369294,"S"
1,3,"male",-0.101955247095335,0,0,-0.537314699615284,"C"
0,3,"female",0.829258240343146,1,0,-0.488610150017824,"S"
0,2,"female",-0.201020511716451,1,0,-0.238668065188041,"S"
1,2,"female",-2.10307359244186,1,2,0.207631991395827,"C"
0,3,"male",-0.101955247095335,0,0,-0.519514052046669,"S"
0,3,"male",-0.101955247095335,1,0,-0.357946283544987,"Q"
1,3,"female",-0.101955247095335,0,0,-0.526020136684321,"Q"
0,3,"male",-0.101955247095335,2,0,-0.223938289568397,"C"
0,3,"female",-0.914290416988479,1,0,-0.308066301322991,"S"
0,3,"male",-1.78606474565429,4,1,0.166606790365675,"S"
0,3,"male",-0.676533781897803,0,0,-0.524935789244712,"S"
1,2,"female",-0.0425160883226664,1,0,-0.13023332122718,"S"
1,1,"male",-0.101955247095335,0,0,0.0757926922984546,"S"
1,2,"female",-1.94456916904808,1,2,-0.092281160840879,"S"
0,3,"male",-1.46905589886672,5,2,0.323023908529216,"S"
1,1,"female",0.670753816949362,0,0,1.04086191355011,"S"
0,1,"male",1.22551929882761,1,0,1.11622406060291,"S"
0,3,"male",-2.02382138074497,3,2,-0.0890281185220533,"S"
0,1,"male",-0.101955247095335,0,0,-0.0929144197456104,"C"
1,3,"male",-0.101955247095335,1,1,-0.363459105927957,"C"
1,2,"female",-0.0425160883226664,0,0,-0.466381027505847,"S"
0,3,"male",-0.835038205291587,0,0,-0.517165355492477,"S"
1,3,"female",-0.993542628685371,4,2,-0.52222492064569,"S"
0,3,"male",-0.280272723413343,2,0,-0.506230795911464,"S"
0,2,"male",0.19524054676801,0,0,-0.466381027505847,"S"
0,3,"female",-1.07279484038226,5,2,0.323023908529216,"S"
0,2,"male",-0.676533781897803,0,0,0.899896746400993,"S"
0,3,"male",-0.280272723413343,1,0,-0.380626494591841,"C"
0,3,"male",-0.359524935110235,0,0,-0.528188831563538,"S"
0,3,"male",-0.101955247095335,0,0,-0.522858179550422,"S"
0,3,"male",-0.101955247095335,0,0,-0.519514052046669,"S"
0,3,"male",-0.597281570200911,0,0,-0.498911450694105,"S"
1,3,"male",-0.0425160883226664,0,0,-0.488067976298019,"S"
0,1,"male",-0.121768300019558,0,0,0.327361298287651,"S"
1,2,"female",-0.993542628685371,0,0,-0.466381027505847,"S"
1,3,"female",0.274492758464902,3,0,-0.350355851467727,"S"
0,3,"male",-1.07279484038226,1,3,0.051394874907261,"S"
1,1,"female",-0.518029358504019,3,2,5.0095735425176,"S"
0,3,"male",-0.438777146807127,0,0,-0.519514052046669,"S"
0,3,"male",-0.0425160883226664,0,0,-0.519514052046669,"S"
0,1,"male",1.3047715105245,1,0,0.632605102537473,"S"
0,3,"male",-0.280272723413343,1,2,-0.247885018424714,"S"
0,3,"male",2.3350502625841,0,0,-0.536863611080407,"S"
0,3,"male",-0.101955247095335,0,0,-0.519514052046669,"S"
0,1,"male",3.2860768029468,0,0,0.0574498710100355,"C"
1,2,"female",0.353744970161794,0,1,-0.195294167603696,"S"
0,3,"female",-0.121768300019558,0,0,-0.522858179550422,"S"
0,3,"male",-0.101955247095335,0,0,-0.522858179550422,"S"
0,1,"male",-0.676533781897803,0,1,0.982036064951345,"S"
0,3,"male",0.274492758464902,0,0,-0.506410797586439,"S"
0,3,"male",0.59150160525247,2,0,-0.52222492064569,"S"
1,3,"female",-0.676533781897803,0,0,-0.528188831563538,"S"
1,3,"male",-0.101955247095335,0,0,-0.525477962964516,"S"
0,3,"male",0.670753816949362,0,0,-0.522858179550422,"S"
0,3,"male",-0.597281570200911,0,0,-0.519514052046669,"S"
0,3,"female",-0.755785993594695,1,0,-0.481019717940564,"S"
0,3,"female",-0.993542628685371,0,0,-0.380537578101793,"C"
0,3,"male",-0.676533781897803,0,0,-0.52222492064569,"S"
0,3,"male",3.24645069709835,0,0,-0.526020136684321,"Q"
0,2,"male",-0.0425160883226664,1,0,-0.238668065188041,"S"
0,1,"male",-0.438777146807127,0,1,4.67387692477381,"C"
0,3,"female",-2.18232580413875,4,2,-0.0158346663484725,"S"
0,2,"male",-0.676533781897803,2,0,0.899896746400993,"S"
0,3,"male",-0.101955247095335,0,0,-0.519514052046669,"S"
0,2,"male",0.234866652616456,1,0,-0.0419500900840061,"C"
1,2,"female",0.234866652616456,0,0,-0.412163655525417,"S"
0,1,"male",1.93878920409964,0,1,0.982036064951345,"S"
1,3,"male",-1.38980368716983,1,0,-0.450295817586693,"C"
0,3,"male",-0.101955247095335,0,0,-0.526020136684321,"Q"
1,3,"female",-0.101955247095335,1,1,-0.209210682643633,"C"
0,3,"male",1.22551929882761,0,0,-0.542827521998254,"S"
0,3,"male",0.274492758464902,0,0,-0.522858179550422,"C"
0,3,"male",-0.755785993594695,0,0,-0.541201000838841,"S"
0,3,"female",1.38402372222139,1,0,-0.379633232337159,"S"
1,2,"female",-0.0425160883226664,1,0,-0.13023332122718,"S"
